TKUFA2,Textbox59,Textbox66,Textbox67
 סיכום פעילות לפי קופה לתקופה נבחרת 06/2017 - 05/2018,        (במיליוני ש''ח),קופת גמל היא מכשיר חיסכון לטווח בינוני וארוך ומומלץ מאד לבחון את ביצועי הקופה לאורך זמן ולא לאורך חודשים בודדים,הנתונים המוצגים באתר דווחו על ידי הגופים המדווחים ובאחריותם

Textbox65,Textbox77,Textbox78,Textbox83,Textbox84,Textbox113,Textbox85,Textbox86,Textbox87,Textbox88,Textbox89,Textbox90,SHM2,ID2,Textbox103,Textbox104,Textbox105,Textbox106,Textbox112,Textbox110,Textbox107,Textbox108,Textbox109,SHM3,ID3,Textbox114,Textbox92,Textbox93,Textbox94,Textbox111,Textbox115,Textbox96,Textbox97,Textbox98,Textbox99
"שיעור דמי ניהול ממוצע לשנת
2017",78.9%,-332.3,"5,296.0",0.82%,- - -,1.27,5.04%,2.78%,5.27%,05/18-06/17,, *** אקסלנס השתלמות לטווח קצר,686,78.9%,-332.3,"5,296.0",0.82%,- - -,דווח,5.27%,05/18-06/17,, *** אקסלנס השתלמות לטווח קצר,686,84.9%,"10,791.4","211,534.0",0.61%,---,- - -,4.42%,2.62%,4.32%,05/18-06/17
"שיעור דמי ניהול ממוצע לשנת
2017",97.3%,-44.3,204.8,0.70%,- - -,0.74,2.16%,0.48%,0.09%,05/18-06/17,, *** אקסלנס השתלמות שקלי טווח קצר,715,97.3%,-44.3,204.8,0.70%,- - -,דווח,0.09%,05/18-06/17,, *** אקסלנס השתלמות שקלי טווח קצר,715,84.9%,"10,791.4","211,534.0",0.61%,---,- - -,4.42%,2.62%,4.32%,05/18-06/17
"שיעור דמי ניהול ממוצע לשנת
2017",85.6%,-99.5,680.6,0.79%,- - -,1.01,2.77%,1.32%,2.29%,05/18-06/17,," *** אקסלנס השתלמות אג""ח ללא מניות",716,85.6%,-99.5,680.6,0.79%,- - -,דווח,2.29%,05/18-06/17,," *** אקסלנס השתלמות אג""ח ללא מניות",716,84.9%,"10,791.4","211,534.0",0.61%,---,- - -,4.42%,2.62%,4.32%,05/18-06/17
"שיעור דמי ניהול ממוצע לשנת
2017",87.4%,-14.0,128.0,0.61%,- - -,1.28,2.91%,1.62%,2.06%,05/18-06/17,," *** הלמן-אלדובי השתלמות אג""ח",736,87.4%,-14.0,128.0,0.61%,- - -,דווח,2.06%,05/18-06/17,," *** הלמן-אלדובי השתלמות אג""ח",736,84.9%,"10,791.4","211,534.0",0.61%,---,- - -,4.42%,2.62%,4.32%,05/18-06/17
"שיעור דמי ניהול ממוצע לשנת
2017",95.0%,-7.6,77.9,0.63%,- - -,1.15,2.11%,0.46%,0.63%,05/18-06/17,, *** הלמן-אלדובי השתלמות שקלי,737,95.0%,-7.6,77.9,0.63%,- - -,דווח,0.63%,05/18-06/17,, *** הלמן-אלדובי השתלמות שקלי,737,84.9%,"10,791.4","211,534.0",0.61%,---,- - -,4.42%,2.62%,4.32%,05/18-06/17
"שיעור דמי ניהול ממוצע לשנת
2017",90.5%,3.1,49.1,0.58%,- - -,0.68,6.25%,1.99%,5.63%,05/18-06/17,, *** הלמן-אלדובי השתלמות מניות,738,90.5%,3.1,49.1,0.58%,- - -,דווח,5.63%,05/18-06/17,, *** הלמן-אלדובי השתלמות מניות,738,84.9%,"10,791.4","211,534.0",0.61%,---,- - -,4.42%,2.62%,4.32%,05/18-06/17
"שיעור דמי ניהול ממוצע לשנת
2017",92.1%,74.5,433.6,0.79%,- - -,0.84,7.69%,3.88%,6.32%,05/18-06/17,,הראל השתלמות מסלול מניות,763,92.1%,74.5,433.6,0.79%,- - -,דווח,6.32%,05/18-06/17,,הראל השתלמות מסלול מניות,763,84.9%,"10,791.4","211,534.0",0.61%,---,- - -,4.42%,2.62%,4.32%,05/18-06/17
"שיעור דמי ניהול ממוצע לשנת
2017",77.2%,34.4,"1,535.6",0.78%,- - -,1.44,3.35%,2.45%,3.30%,05/18-06/17,,"הראל השתלמות אג""ח עד 10% מניות ",764,77.2%,34.4,"1,535.6",0.78%,- - -,דווח,3.30%,05/18-06/17,,"הראל השתלמות אג""ח עד 10% מניות ",764,84.9%,"10,791.4","211,534.0",0.61%,---,- - -,4.42%,2.62%,4.32%,05/18-06/17
"שיעור דמי ניהול ממוצע לשנת
2017",99.8%,1.2,278.0,0.77%,- - -,0.85,3.65%,1.31%,4.28%,05/18-06/17,, *** מיטב דש השתלמות כהלכה,768,99.8%,1.2,278.0,0.77%,- - -,דווח,4.28%,05/18-06/17,, *** מיטב דש השתלמות כהלכה,768,84.9%,"10,791.4","211,534.0",0.61%,---,- - -,4.42%,2.62%,4.32%,05/18-06/17
"שיעור דמי ניהול ממוצע לשנת
2017",84.5%,982.2,"4,386.8",0.69%,- - -,1.20,4.94%,2.84%,5.10%,05/18-06/17,, *** מנורה מבטחים השתלמות כללי,828,84.5%,982.2,"4,386.8",0.69%,- - -,דווח,5.10%,05/18-06/17,, *** מנורה מבטחים השתלמות כללי,828,84.9%,"10,791.4","211,534.0",0.61%,---,- - -,4.42%,2.62%,4.32%,05/18-06/17
